unit,age,sex,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
NR,TOTAL,T,ITF4	4043827 	4048007 	4053668 	4050072 	4050803 	4090266 	4090105 	4077166 	4063888 	4048242 	3975528 b	3953305 
NR,TOTAL,T,ITF5	583556 	581140 	579358 	577562 	576194 	578391 	576619 	573694 	570365 	567118 	558587 b	553254 
NR,TOTAL,T,ITF6	1970780 	1966336 	1962856 	1958418 	1958238 	1980533 	1976631 	1970521 	1965128 	1956687 	1912021 b	1894110 
NR,TOTAL,T,ITG1	4990588 	4997429 	5005657 	4999854 	4999932 	5094937 	5092080 	5074261 	5056641 	5026989 	4908548 b	4875290 
NR,TOTAL,T,ITG2	1642583 	1641347 	1641681 	1637846 	1640379 	1663859 	1663286 	1658138 	1653135 	1648176 	1622257 b	1611621 
NR,TOTAL,T,ITH1	494559 	498315 	501815 	504708 	509626 	515714 	518518 	520891 	524256 	527750 	530313 b	532644 
NR,TOTAL,T,ITH2	514881 	518796 	522486 	524877 	530308 	536237 	537416 	538223 	538604 	539898 	543721 b	545425 
NR,TOTAL,T,ITH3	4827619 	4841933 	4851958 	4853657 	4881756 	4926818 	4927596 	4915123 	4907529 	4905037 	4884590 b	4879133 
NR,TOTAL,T,ITH4	1221392 	1221569 	1220849 	1217780 	1221860 	1229363 	1227122 	1221218 	1217872 	1215538 	1210414 b	1206216 
NR,TOTAL,T,ITH5	4277139 	4306684 	4331343 	4341240 	4377487 	4446354 	4450508 	4448146 	4448841 	4452629 	4459453 b	4464119 
NR,TOTAL,T,ITI1	3641389 	3657340 	3668948 	3667780 	3692828 	3750511 	3752654 	3744398 	3742437 	3736968 	3701343 b	3692555 
NR,TOTAL,T,ITI2	875261 	880202 	884010 	883215 	886239 	896742 	894762 	891181 	888908 	884640 	873744 b	870165 
NR,TOTAL,T,ITI3	1536302 	1540272 	1541950 	1540688 	1545155 	1553138 	1550796 	1543752 	1538055 	1531753 	1520321 b	1512672 
NR,TOTAL,T,ITI4	5401837 	5442963 	5481572 	5500022 	5557276 	5870451 	5892425 	5888472 	5898124 	5896693 	5773076 b	5755700 
